start,end,pitch,syllable
0.9585,1.4135,59,w_ii
1.4135,1.8085,64,w_i_sh
1.8085,2.0575,64,y_uu
2.0575,2.3300,66,eo
2.3300,2.5745,64,m_e
2.5745,2.8015,63,r_ii
2.8710,3.2990,61,k_r_i_s
3.3560,3.6460,61,m_eo_s
3.8910,4.2420,61,w_ii
4.3410,4.7310,66,w_i_sh
4.7310,5.0360,66,y_uu
5.0360,5.2175,68,eo
5.2175,5.4820,66,m_e
5.4820,5.6720,64,r_ii
5.7470,6.1625,63,k_r_i_s
6.1915,6.6760,59,m_eo_s
6.7620,7.1780,59,w_ii
7.2400,7.6210,68,w_i_sh
7.6210,7.8690,68,y_uu
7.8690,8.1260,69,eo
8.1260,8.3820,68,m_e
8.3820,8.5660,66,r_ii
8.6425,9.0730,64,k_r_i_s
9.0930,9.3940,61,m_eo_s
9.6050,9.8345,59,eo_n_d
9.8345,10.0635,59,eo
10.0635,10.4650,61,h_ae
10.5805,11.0100,66,p_ii
11.0460,11.3590,63,n_j_uu
11.5180,12.1015,64,y_i_r
12.4390,12.8320,59,g_l_ae_d
12.9245,13.4405,64,t_ai
13.4405,13.8475,64,d_i_ng_z
13.8475,14.3565,64,w_ii
14.3960,14.9570,63,b_r_i_ng
15.3175,15.8395,63,t_uu
15.8395,16.3100,64,y_uu
16.3100,16.7420,63,eo_n_d
16.7420,17.1560,61,y_oo_r
17.2300,17.7625,59,k_i_n
18.1885,18.5880,66,g_l_ae_d
18.6670,19.1805,68,t_ai
19.1805,19.6300,66,d_i_ng_z
19.6300,20.0105,64,f_oo_r
20.0795,20.5575,71,k_r_i_s
20.5815,20.9070,59,m_eo_s
21.1115,21.3645,59,eo_n_d
21.3645,21.5700,59,eo
21.5700,21.9780,61,h_ae
22.0830,22.5080,66,p_ii
22.5355,22.9470,63,n_j_uu
23.0715,23.6005,64,y_i_r
23.9580,24.4055,59,n_au
24.4735,24.9195,64,b_r_i_ng
24.9195,25.1215,64,ao_s
25.1215,25.3765,66,s_ao_m
25.4195,25.6800,64,f_i
25.6800,25.8020,63,g_ii
25.9040,26.4015,61,p_u
